Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Count_All_Casualties
2001,Brisbane,Property damage only,No,No,Yes,No,24,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,94,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,5,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,164,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,15,0,0,0,0,0
2001,Central,Fatal,No,No,No,No,55,59,24,11,5,99
2001,Central,Fatal,No,No,Yes,No,7,10,5,0,0,15
2001,Central,Fatal,No,Yes,No,No,7,8,0,0,0,8
2001,Central,Fatal,Yes,No,No,No,17,17,12,4,1,34
2001,Central,Fatal,Yes,Yes,No,No,4,4,2,0,0,6
2001,Central,Hospitalisation,No,No,No,No,693,0,847,134,45,1026
2001,Central,Hospitalisation,No,No,No,Yes,35,0,50,3,2,55
2001,Central,Hospitalisation,No,No,Yes,No,54,0,65,5,2,72
2001,Central,Hospitalisation,No,Yes,No,No,44,0,57,11,4,72
2001,Central,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,Central,Hospitalisation,No,Yes,Yes,No,1,0,2,1,0,3
2001,Central,Hospitalisation,Yes,No,No,No,79,0,108,12,4,124
2001,Central,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2001,Central,Hospitalisation,Yes,Yes,No,No,10,0,16,0,0,16
2001,Central,Medical treatment,No,No,No,No,977,0,0,1199,97,1296
2001,Central,Medical treatment,No,No,No,Yes,30,0,0,34,1,35
2001,Central,Medical treatment,No,No,Yes,No,21,0,0,25,2,27
2001,Central,Medical treatment,No,Yes,No,No,34,0,0,48,3,51
2001,Central,Medical treatment,No,Yes,No,Yes,1,0,0,1,0,1
2001,Central,Medical treatment,No,Yes,Yes,No,1,0,0,1,0,1
2001,Central,Medical treatment,Yes,No,No,No,48,0,0,57,2,59
2001,Central,Medical treatment,Yes,No,No,Yes,1,0,0,2,1,3
2001,Central,Medical treatment,Yes,No,Yes,No,1,0,0,1,0,1
2001,Central,Medical treatment,Yes,Yes,No,No,11,0,0,14,1,15
2001,Central,Medical treatment,Yes,Yes,Yes,No,1,0,0,1,0,1
2001,Central,Minor injury,No,No,No,No,494,0,0,0,566,566
2001,Central,Minor injury,No,No,No,Yes,16,0,0,0,18,18
2001,Central,Minor injury,No,No,Yes,No,18,0,0,0,22,22
2001,Central,Minor injury,No,No,Yes,Yes,1,0,0,0,1,1
2001,Central,Minor injury,No,Yes,No,No,14,0,0,0,16,16
2001,Central,Minor injury,No,Yes,No,Yes,2,0,0,0,2,2
2001,Central,Minor injury,Yes,No,No,No,27,0,0,0,33,33
2001,Central,Minor injury,Yes,Yes,No,No,2,0,0,0,2,2
2001,Central,Property damage only,No,No,No,No,1568,0,0,0,0,0
2001,Central,Property damage only,No,No,No,Yes,67,0,0,0,0,0
2001,Central,Property damage only,No,No,Yes,No,42,0,0,0,0,0
2001,Central,Property damage only,No,No,Yes,Yes,1,0,0,0,0,0
2001,Central,Property damage only,No,Yes,No,No,84,0,0,0,0,0
2001,Central,Property damage only,No,Yes,No,Yes,5,0,0,0,0,0
2001,Central,Property damage only,No,Yes,Yes,No,2,0,0,0,0,0
2001,Central,Property damage only,Yes,No,No,No,98,0,0,0,0,0
2001,Central,Property damage only,Yes,No,No,Yes,3,0,0,0,0,0
2001,Central,Property damage only,Yes,No,Yes,No,2,0,0,0,0,0
2001,Central,Property damage only,Yes,Yes,No,No,18,0,0,0,0,0
2001,Northern,Fatal,No,No,No,No,30,37,19,3,0,59
2001,Northern,Fatal,No,No,No,Yes,1,1,0,0,0,1
2001,Northern,Fatal,No,Yes,No,No,6,6,5,0,0,11
2001,Northern,Fatal,Yes,No,No,No,1,1,2,0,0,3
2001,Northern,Fatal,Yes,No,No,Yes,1,1,0,0,0,1
2001,Northern,Fatal,Yes,No,Yes,No,1,1,0,0,0,1
2001,Northern,Fatal,Yes,Yes,No,No,1,1,0,0,0,1
2001,Northern,Hospitalisation,No,No,No,No,413,0,492,55,29,576
2001,Northern,Hospitalisation,No,No,No,Yes,21,0,23,5,3,31
2001,Northern,Hospitalisation,No,No,Yes,No,21,0,36,4,1,41
2001,Northern,Hospitalisation,No,Yes,No,No,36,0,57,4,2,63
2001,Northern,Hospitalisation,No,Yes,No,Yes,3,0,4,0,1,5
2001,Northern,Hospitalisation,Yes,No,No,No,37,0,40,7,2,49
2001,Northern,Hospitalisation,Yes,No,No,Yes,2,0,4,2,1,7
2001,Northern,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2001,Northern,Hospitalisation,Yes,Yes,No,No,5,0,9,4,0,13
2001,Northern,Medical treatment,No,No,No,No,471,0,0,567,30,597
2001,Northern,Medical treatment,No,No,No,Yes,15,0,0,27,1,28
2001,Northern,Medical treatment,No,No,Yes,No,6,0,0,6,2,8
2001,Northern,Medical treatment,No,Yes,No,No,16,0,0,19,1,20
2001,Northern,Medical treatment,No,Yes,No,Yes,2,0,0,2,1,3
2001,Northern,Medical treatment,Yes,No,No,No,24,0,0,27,0,27
2001,Northern,Medical treatment,Yes,No,No,Yes,1,0,0,1,0,1
2001,Northern,Medical treatment,Yes,Yes,No,No,4,0,0,5,0,5
2001,Northern,Minor injury,No,No,No,No,272,0,0,0,330,330
2001,Northern,Minor injury,No,No,No,Yes,5,0,0,0,6,6
2001,Northern,Minor injury,No,No,Yes,No,5,0,0,0,8,8
2001,Northern,Minor injury,No,No,Yes,Yes,1,0,0,0,1,1
2001,Northern,Minor injury,No,Yes,No,No,5,0,0,0,6,6
2001,Northern,Minor injury,No,Yes,No,Yes,1,0,0,0,2,2
2001,Northern,Minor injury,Yes,No,No,No,14,0,0,0,14,14
2001,Northern,Minor injury,Yes,Yes,No,No,6,0,0,0,8,8
2001,Northern,Property damage only,No,No,No,No,853,0,0,0,0,0
2001,Northern,Property damage only,No,No,No,Yes,35,0,0,0,0,0
2001,Northern,Property damage only,No,No,Yes,No,15,0,0,0,0,0
2001,Northern,Property damage only,No,Yes,No,No,52,0,0,0,0,0
2001,Northern,Property damage only,No,Yes,No,Yes,3,0,0,0,0,0
2001,Northern,Property damage only,Yes,No,No,No,60,0,0,0,0,0
2001,Northern,Property damage only,Yes,No,No,Yes,2,0,0,0,0,0
2001,Northern,Property damage only,Yes,No,Yes,No,1,0,0,0,0,0
2001,Northern,Property damage only,Yes,Yes,No,No,7,0,0,0,0,0
2001,South Eastern,Fatal,No,No,No,No,28,29,24,5,2,60
2001,South Eastern,Fatal,No,No,Yes,No,1,1,1,4,0,6
2001,South Eastern,Fatal,No,Yes,No,No,4,4,1,3,0,8
2001,South Eastern,Fatal,Yes,No,No,No,7,7,4,1,0,12
2001,South Eastern,Fatal,Yes,Yes,No,No,2,2,2,0,0,4
2001,South Eastern,Fatal,Yes,Yes,No,Yes,1,1,0,0,0,1
2001,South Eastern,Hospitalisation,No,No,No,No,635,0,778,100,49,927
2001,South Eastern,Hospitalisation,No,No,No,Yes,17,0,21,3,0,24
2001,South Eastern,Hospitalisation,No,No,Yes,No,11,0,13,1,1,15
2001,South Eastern,Hospitalisation,No,Yes,No,No,44,0,66,3,5,74
2001,South Eastern,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,South Eastern,Hospitalisation,Yes,No,No,No,57,0,66,6,5,77
2001,South Eastern,Hospitalisation,Yes,No,No,Yes,1,0,4,0,0,4
2001,South Eastern,Hospitalisation,Yes,Yes,No,No,13,0,18,0,0,18
2001,South Eastern,Medical treatment,No,No,No,No,1012,0,0,1267,81,1348
2001,South Eastern,Medical treatment,No,No,No,Yes,21,0,0,23,0,23
2001,South Eastern,Medical treatment,No,No,Yes,No,9,0,0,9,0,9
2001,South Eastern,Medical treatment,No,Yes,No,No,26,0,0,33,0,33
2001,South Eastern,Medical treatment,No,Yes,No,Yes,1,0,0,1,1,2
2001,South Eastern,Medical treatment,No,Yes,Yes,No,1,0,0,4,0,4
2001,South Eastern,Medical treatment,Yes,No,No,No,37,0,0,50,0,50
2001,South Eastern,Medical treatment,Yes,No,No,Yes,1,0,0,2,0,2
2001,South Eastern,Medical treatment,Yes,Yes,No,No,3,0,0,6,0,6
2001,South Eastern,Minor injury,No,No,No,No,518,0,0,0,637,637
2001,South Eastern,Minor injury,No,No,No,Yes,12,0,0,0,14,14
2001,South Eastern,Minor injury,No,No,Yes,No,4,0,0,0,4,4
2001,South Eastern,Minor injury,No,Yes,No,No,20,0,0,0,25,25
2001,South Eastern,Minor injury,Yes,No,No,No,20,0,0,0,23,23
2001,South Eastern,Minor injury,Yes,No,Yes,No,1,0,0,0,1,1
2001,South Eastern,Minor injury,Yes,Yes,No,No,3,0,0,0,3,3
2001,South Eastern,Property damage only,No,No,No,No,891,0,0,0,0,0
2001,South Eastern,Property damage only,No,No,No,Yes,31,0,0,0,0,0
2001,South Eastern,Property damage only,No,No,Yes,No,13,0,0,0,0,0
2001,South Eastern,Property damage only,No,Yes,No,No,58,0,0,0,0,0
2001,South Eastern,Property damage only,No,Yes,No,Yes,4,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,No,No,No,109,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,No,No,Yes,1,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,No,Yes,No,3,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,Yes,No,No,13,0,0,0,0,0
2001,Southern,Fatal,No,No,No,No,45,50,23,6,6,85
2001,Southern,Fatal,No,No,No,Yes,2,2,0,0,0,2
2001,Southern,Fatal,No,No,Yes,No,4,6,5,0,0,11
2001,Southern,Fatal,No,Yes,No,No,8,9,1,0,1,11
2001,Southern,Fatal,Yes,No,No,No,9,11,5,0,0,16
2001,Southern,Fatal,Yes,No,Yes,No,2,2,0,0,0,2
2001,Southern,Fatal,Yes,Yes,No,No,2,2,0,0,0,2
2001,Southern,Hospitalisation,No,No,No,No,557,0,678,101,36,815
2001,Southern,Hospitalisation,No,No,No,Yes,20,0,25,2,2,29
2001,Southern,Hospitalisation,No,No,Yes,No,39,0,47,2,2,51
2001,Southern,Hospitalisation,No,Yes,No,No,40,0,54,8,0,62
2001,Southern,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,Southern,Hospitalisation,Yes,No,No,No,64,0,77,10,3,90
2001,Southern,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2001,Southern,Hospitalisation,Yes,Yes,No,No,14,0,24,3,0,27
2001,Southern,Medical treatment,No,No,No,No,785,0,0,952,73,1025
2001,Southern,Medical treatment,No,No,No,Yes,26,0,0,35,0,35
2001,Southern,Medical treatment,No,No,Yes,No,23,0,0,35,0,35
2001,Southern,Medical treatment,No,Yes,No,No,27,0,0,36,0,36
2001,Southern,Medical treatment,Yes,No,No,No,37,0,0,47,4,51
2001,Southern,Medical treatment,Yes,Yes,No,No,5,0,0,6,0,6
2001,Southern,Minor injury,No,No,No,No,418,0,0,0,508,508
2001,Southern,Minor injury,No,No,No,Yes,14,0,0,0,21,21
2001,Southern,Minor injury,No,No,Yes,No,11,0,0,0,13,13
2001,Southern,Minor injury,No,Yes,No,No,17,0,0,0,18,18
2001,Southern,Minor injury,No,Yes,No,Yes,2,0,0,0,6,6
2001,Southern,Minor injury,Yes,No,No,No,22,0,0,0,26,26
2001,Southern,Minor injury,Yes,No,Yes,No,2,0,0,0,2,2
2001,Southern,Minor injury,Yes,Yes,No,No,4,0,0,0,4,4
2001,Southern,Property damage only,No,No,No,No,1321,0,0,0,0,0
2001,Southern,Property damage only,No,No,No,Yes,68,0,0,0,0,0
2001,Southern,Property damage only,No,No,Yes,No,27,0,0,0,0,0
2001,Southern,Property damage only,No,No,Yes,Yes,1,0,0,0,0,0
2001,Southern,Property damage only,No,Yes,No,No,66,0,0,0,0,0
2001,Southern,Property damage only,No,Yes,No,Yes,4,0,0,0,0,0
2001,Southern,Property damage only,Yes,No,No,No,75,0,0,0,0,0
2001,Southern,Property damage only,Yes,No,No,Yes,1,0,0,0,0,0
2001,Southern,Property damage only,Yes,No,Yes,No,5,0,0,0,0,0
2001,Southern,Property damage only,Yes,Yes,No,No,12,0,0,0,0,0
2001,Unknown,Hospitalisation,No,No,No,No,48,0,61,14,4,79
2001,Unknown,Hospitalisation,No,No,No,Yes,2,0,2,8,0,10
2001,Unknown,Hospitalisation,No,Yes,No,No,7,0,13,3,0,16
2001,Unknown,Hospitalisation,Yes,No,No,No,7,0,8,0,0,8
2001,Unknown,Hospitalisation,Yes,Yes,No,No,1,0,3,0,0,3
2001,Unknown,Hospitalisation,Yes,Yes,No,Yes,1,0,2,2,0,4
2001,Unknown,Medical treatment,No,No,No,No,49,0,0,60,1,61
2001,Unknown,Medical treatment,No,No,No,Yes,2,0,0,2,0,2
2001,Unknown,Medical treatment,No,No,Yes,No,1,0,0,1,0,1
2001,Unknown,Medical treatment,No,Yes,No,No,8,0,0,12,1,13
2001,Unknown,Medical treatment,Yes,No,No,No,4,0,0,4,0,4
2001,Unknown,Medical treatment,Yes,Yes,No,No,1,0,0,1,0,1
2001,Unknown,Minor injury,No,No,No,No,26,0,0,0,28,28
2001,Unknown,Minor injury,No,Yes,No,No,2,0,0,0,2,2
2001,Unknown,Minor injury,Yes,No,No,No,3,0,0,0,4,4
2001,Unknown,Property damage only,No,No,No,No,47,0,0,0,0,0
2001,Unknown,Property damage only,No,No,No,Yes,5,0,0,0,0,0
2001,Unknown,Property damage only,No,Yes,No,No,4,0,0,0,0,0
2001,Unknown,Property damage only,Yes,No,No,No,4,0,0,0,0,0
2002,Brisbane,Fatal,No,No,No,No,28,28,11,2,2,43
2002,Brisbane,Fatal,No,Yes,No,No,5,6,0,0,0,6
2002,Brisbane,Fatal,Yes,No,No,No,3,3,0,0,0,3
2002,Brisbane,Fatal,Yes,Yes,No,No,6,8,1,0,1,10
2002,Brisbane,Hospitalisation,No,No,No,No,1129,0,1327,143,95,1565
2002,Brisbane,Hospitalisation,No,No,No,Yes,24,0,28,1,1,30
2002,Brisbane,Hospitalisation,No,No,Yes,No,18,0,19,4,0,23
2002,Brisbane,Hospitalisation,No,Yes,No,No,52,0,76,13,3,92
2002,Brisbane,Hospitalisation,No,Yes,No,Yes,3,0,6,12,0,18
2002,Brisbane,Hospitalisation,Yes,No,No,No,62,0,69,8,3,80
2002,Brisbane,Hospitalisation,Yes,No,No,Yes,2,0,2,1,0,3
2002,Brisbane,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2002,Brisbane,Hospitalisation,Yes,Yes,No,No,9,0,13,4,3,20
2002,Brisbane,Medical treatment,No,No,No,No,1961,0,0,2299,141,2440
2002,Brisbane,Medical treatment,No,No,No,Yes,24,0,0,27,1,28
2002,Brisbane,Medical treatment,No,No,Yes,No,16,0,0,19,2,21
2002,Brisbane,Medical treatment,No,Yes,No,No,41,0,0,56,8,64
2002,Brisbane,Medical treatment,No,Yes,No,Yes,1,0,0,1,0,1
2002,Brisbane,Medical treatment,Yes,No,No,No,51,0,0,60,3,63
2002,Brisbane,Medical treatment,Yes,No,No,Yes,1,0,0,1,1,2
2002,Brisbane,Medical treatment,Yes,Yes,No,No,3,0,0,4,0,4
2002,Brisbane,Minor injury,No,No,No,No,1160,0,0,0,1399,1399
2002,Brisbane,Minor injury,No,No,No,Yes,20,0,0,0,23,23
2002,Brisbane,Minor injury,No,No,Yes,No,8,0,0,0,8,8
2002,Brisbane,Minor injury,No,Yes,No,No,28,0,0,0,30,30
2002,Brisbane,Minor injury,No,Yes,No,Yes,1,0,0,0,1,1
2002,Brisbane,Minor injury,No,Yes,Yes,No,1,0,0,0,1,1
2002,Brisbane,Minor injury,Yes,No,No,No,30,0,0,0,33,33
2002,Brisbane,Minor injury,Yes,Yes,No,No,5,0,0,0,6,6
2002,Brisbane,Property damage only,No,No,No,No,2056,0,0,0,0,0
2002,Brisbane,Property damage only,No,No,No,Yes,61,0,0,0,0,0
2002,Brisbane,Property damage only,No,No,Yes,No,19,0,0,0,0,0
2002,Brisbane,Property damage only,No,Yes,No,No,128,0,0,0,0,0
2002,Brisbane,Property damage only,No,Yes,No,Yes,6,0,0,0,0,0
2002,Brisbane,Property damage only,No,Yes,Yes,No,2,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,No,No,No,159,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,No,No,Yes,1,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,No,Yes,No,4,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,Yes,No,No,17,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,Yes,No,Yes,1,0,0,0,0,0
2002,Central,Fatal,No,No,No,No,50,61,50,7,5,123
2002,Central,Fatal,No,No,No,Yes,1,1,0,1,0,2
2002,Central,Fatal,No,No,Yes,No,8,11,3,0,0,14
2002,Central,Fatal,No,Yes,No,No,10,11,10,2,0,23
2002,Central,Fatal,No,Yes,Yes,No,1,1,0,0,0,1
2002,Central,Fatal,Yes,No,No,No,7,9,7,2,0,18
2002,Central,Fatal,Yes,Yes,No,No,7,7,0,0,1,8
2002,Central,Fatal,Yes,Yes,Yes,No,2,2,1,2,0,5
2002,Central,Hospitalisation,No,No,No,No,757,0,913,125,68,1106
2002,Central,Hospitalisation,No,No,No,Yes,25,0,27,3,3,33
2002,Central,Hospitalisation,No,No,Yes,No,40,0,55,4,4,63
2002,Central,Hospitalisation,No,Yes,No,No,60,0,84,13,6,103
2002,Central,Hospitalisation,No,Yes,No,Yes,2,0,3,0,0,3
2002,Central,Hospitalisation,No,Yes,Yes,No,1,0,1,0,0,1
2002,Central,Hospitalisation,Yes,No,No,No,77,0,99,9,4,112
2002,Central,Hospitalisation,Yes,No,Yes,No,5,0,7,0,0,7
2002,Central,Hospitalisation,Yes,Yes,No,No,17,0,21,2,1,24
2002,Central,Medical treatment,No,No,No,No,908,0,0,1097,76,1173
2002,Central,Medical treatment,No,No,No,Yes,33,0,0,41,0,41
2002,Central,Medical treatment,No,No,Yes,No,33,0,0,44,1,45
2002,Central,Medical treatment,No,Yes,No,No,30,0,0,55,4,59
2002,Central,Medical treatment,No,Yes,No,Yes,1,0,0,2,0,2
2002,Central,Medical treatment,No,Yes,Yes,No,1,0,0,1,0,1
2002,Central,Medical treatment,Yes,No,No,No,57,0,0,70,3,73
2002,Central,Medical treatment,Yes,No,No,Yes,2,0,0,3,1,4
2002,Central,Medical treatment,Yes,No,Yes,No,3,0,0,3,0,3
2002,Central,Medical treatment,Yes,Yes,No,No,4,0,0,4,0,4
2002,Central,Medical treatment,Yes,Yes,Yes,No,1,0,0,1,0,1
2002,Central,Minor injury,No,No,No,No,532,0,0,0,625,625
2002,Central,Minor injury,No,No,No,Yes,22,0,0,0,26,26
2002,Central,Minor injury,No,No,Yes,No,15,0,0,0,15,15
2002,Central,Minor injury,No,Yes,No,No,16,0,0,0,20,20
2002,Central,Minor injury,No,Yes,Yes,No,1,0,0,0,1,1
2002,Central,Minor injury,Yes,No,No,No,26,0,0,0,26,26
2002,Central,Minor injury,Yes,No,No,Yes,2,0,0,0,2,2
2002,Central,Minor injury,Yes,Yes,No,No,3,0,0,0,3,3
2002,Central,Property damage only,No,No,No,No,1645,0,0,0,0,0
2002,Central,Property damage only,No,No,No,Yes,85,0,0,0,0,0
2002,Central,Property damage only,No,No,Yes,No,38,0,0,0,0,0
2002,Central,Property damage only,No,Yes,No,No,106,0,0,0,0,0
2002,Central,Property damage only,No,Yes,No,Yes,2,0,0,0,0,0
2002,Central,Property damage only,No,Yes,Yes,No,2,0,0,0,0,0
2002,Central,Property damage only,Yes,No,No,No,147,0,0,0,0,0
2002,Central,Property damage only,Yes,No,No,Yes,2,0,0,0,0,0
2002,Central,Property damage only,Yes,No,Yes,No,4,0,0,0,0,0
2002,Central,Property damage only,Yes,Yes,No,No,19,0,0,0,0,0
2002,Northern,Fatal,No,No,No,No,28,30,27,7,1,65
2002,Northern,Fatal,No,No,No,Yes,2,2,1,0,0,3
2002,Northern,Fatal,No,No,Yes,No,4,4,2,0,0,6
2002,Northern,Fatal,No,Yes,No,No,1,2,1,0,0,3
2002,Northern,Fatal,Yes,No,No,No,5,5,1,1,0,7
2002,Northern,Fatal,Yes,No,No,Yes,1,1,0,0,0,1
2002,Northern,Fatal,Yes,Yes,No,No,2,2,3,0,1,6
2002,Northern,Hospitalisation,No,No,No,No,448,0,530,69,39,638
2002,Northern,Hospitalisation,No,No,No,Yes,22,0,38,8,1,47
2002,Northern,Hospitalisation,No,No,Yes,No,16,0,16,1,1,18
2002,Northern,Hospitalisation,No,Yes,No,No,22,0,26,2,0,28
2002,Northern,Hospitalisation,No,Yes,No,Yes,2,0,2,0,0,2
2002,Northern,Hospitalisation,No,Yes,Yes,No,1,0,1,0,0,1
2002,Northern,Hospitalisation,Yes,No,No,No,50,0,62,11,3,76
2002,Northern,Hospitalisation,Yes,No,No,Yes,2,0,5,1,0,6
2002,Northern,Hospitalisation,Yes,No,Yes,No,5,0,7,0,0,7
2002,Northern,Hospitalisation,Yes,Yes,No,No,14,0,18,2,1,21
2002,Northern,Medical treatment,No,No,No,No,478,0,0,581,35,616
2002,Northern,Medical treatment,No,No,No,Yes,8,0,0,8,2,10
2002,Northern,Medical treatment,No,No,Yes,No,11,0,0,14,0,14
2002,Northern,Medical treatment,No,Yes,No,No,25,0,0,38,3,41
2002,Northern,Medical treatment,Yes,No,No,No,21,0,0,30,1,31
2002,Northern,Medical treatment,Yes,Yes,No,No,2,0,0,3,0,3
2002,Northern,Minor injury,No,No,No,No,284,0,0,0,348,348
2002,Northern,Minor injury,No,No,No,Yes,8,0,0,0,8,8
2002,Northern,Minor injury,No,No,Yes,No,7,0,0,0,7,7
2002,Northern,Minor injury,No,Yes,No,No,9,0,0,0,12,12
2002,Northern,Minor injury,No,Yes,No,Yes,1,0,0,0,1,1
2002,Northern,Minor injury,Yes,No,No,No,23,0,0,0,24,24
2002,Northern,Minor injury,Yes,Yes,No,No,2,0,0,0,2,2
2002,Northern,Property damage only,No,No,No,No,910,0,0,0,0,0
2002,Northern,Property damage only,No,No,No,Yes,37,0,0,0,0,0
2002,Northern,Property damage only,No,No,Yes,No,17,0,0,0,0,0
2002,Northern,Property damage only,No,Yes,No,No,54,0,0,0,0,0
2002,Northern,Property damage only,No,Yes,No,Yes,2,0,0,0,0,0
2002,Northern,Property damage only,No,Yes,Yes,No,1,0,0,0,0,0
2002,Northern,Property damage only,Yes,No,No,No,62,0,0,0,0,0
2002,Northern,Property damage only,Yes,No,No,Yes,2,0,0,0,0,0
2002,Northern,Property damage only,Yes,No,Yes,No,1,0,0,0,0,0
2002,Northern,Property damage only,Yes,Yes,No,No,8,0,0,0,0,0
2002,South Eastern,Fatal,No,No,No,No,33,35,10,7,1,53
2002,South Eastern,Fatal,No,Yes,No,No,5,5,0,0,0,5
2002,South Eastern,Fatal,Yes,No,No,No,5,7,4,0,0,11
2002,South Eastern,Fatal,Yes,Yes,No,No,4,5,4,1,0,10
2002,South Eastern,Hospitalisation,No,No,No,No,638,0,777,72,31,880
2002,South Eastern,Hospitalisation,No,No,No,Yes,21,0,25,1,2,28
2002,South Eastern,Hospitalisation,No,No,Yes,No,9,0,10,1,0,11
2002,South Eastern,Hospitalisation,No,Yes,No,No,45,0,55,5,1,61
2002,South Eastern,Hospitalisation,No,Yes,No,Yes,2,0,3,0,0,3
2002,South Eastern,Hospitalisation,Yes,No,No,No,75,0,93,20,10,123
2002,South Eastern,Hospitalisation,Yes,No,Yes,No,2,0,2,0,0,2
2002,South Eastern,Hospitalisation,Yes,Yes,No,No,10,0,11,1,0,12
2002,South Eastern,Medical treatment,No,No,No,No,1036,0,0,1273,75,1348
2002,South Eastern,Medical treatment,No,No,No,Yes,16,0,0,21,2,23
2002,South Eastern,Medical treatment,No,No,Yes,No,9,0,0,11,0,11
2002,South Eastern,Medical treatment,No,Yes,No,No,23,0,0,29,5,34
2002,South Eastern,Medical treatment,No,Yes,No,Yes,1,0,0,1,0,1
2002,South Eastern,Medical treatment,Yes,No,No,No,45,0,0,53,5,58
2002,South Eastern,Medical treatment,Yes,No,Yes,No,2,0,0,2,3,5
2002,South Eastern,Medical treatment,Yes,Yes,No,No,3,0,0,3,2,5
2002,South Eastern,Minor injury,No,No,No,No,527,0,0,0,643,643
